stable_key,authority_name,canonical_url,content_kind,source_role,internal_fulltext,public_fulltext,rag_index,link_only,rights_policy,rights_basis,robots_status,robots_url,robots_checked_at,robots_sha256,terms_url,terms_checked_at,terms_sha256,captured_at,capture_sha256,capture_status,verification_status,review_note
"nts.guides","국세청·국세법령정보시스템","https://taxlaw.nts.go.kr/qt/USEQTM001M.do","세금 안내·사례·첨부","EXPLANATION","REVIEW","REVIEW","REVIEW","YES","REVIEW_REQUIRED","공공누리 표시 자료는 해당 유형 조건을 따르고 미표시 자료는 사전 동의가 필요하며 국세법령정보는 참고자료임","OBSERVED_PATH_RULES","https://taxlaw.nts.go.kr/robots.txt","2026-07-17","","https://www.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=8169&mi=6791","2026-07-17","","","","NOT_CAPTURED","VERIFIED","www.nts.go.kr 전체 허용과 taxlaw의 관련 /qt·/br 경로 허용을 임시 관찰했지만 바이트는 미보존. 개별 사안은 126·관보·법령·전문가로 재확인"
"mois.policy-explanations","행정안전부","https://www.mois.go.kr/","지방세·주소 제도 정책 설명","EXPLANATION","REVIEW","REVIEW","REVIEW","YES","REVIEW_REQUIRED","문서별 공공누리 표시를 확인해야 함","OBSERVED_ALLOWED","https://www.mois.go.kr/robots.txt","2026-07-17","","https://www.mois.go.kr/frt/sub/a08/copyrightPolicy/screen.do","2026-07-17","","","","NOT_CAPTURED","PARTIAL","전체 허용을 임시 관찰했지만 바이트는 미보존. 정책 설명은 법령·고시 발견에만 사용"
"mois.legal-instruments","행정안전부","https://www.mois.go.kr/frt/bbs/type001/commonSelectBoardList.do?bbsId=BBSMSTR_000000000016","훈령·예규·고시와 공식 붙임","LEGAL_EFFECT","REVIEW","REVIEW","REVIEW","YES","REVIEW_REQUIRED","문서별 공공누리와 붙임 권리를 확인해야 함","OBSERVED_ALLOWED","https://www.mois.go.kr/robots.txt","2026-07-17","","https://www.mois.go.kr/frt/sub/a08/copyrightPolicy/screen.do","2026-07-17","","","","NOT_CAPTURED","PENDING_REVIEW","전체 허용을 임시 관찰했지만 바이트는 미보존. 관보·문서번호·시행일·정정/폐지·붙임 해시 확인 전 판정 비활성"
"seoul.city-notices","서울특별시 본청","https://www.seoul.go.kr/news/news_notice.do","서울시보·본청 고시공고","LEGAL_EFFECT","REVIEW","NO","NO","YES","REVIEW_REQUIRED","문서별 공공누리 0~4·AI 유형을 확인해야 함","OBSERVED_DEFAULT_DISALLOW_ALLOWLIST","https://www.seoul.go.kr/robots.txt","2026-07-17","","https://www.seoul.go.kr/helper/copyright.do","2026-07-17","","","","NOT_CAPTURED","PENDING_REVIEW","기본 차단과 /news·/helper 허용 목록을 임시 관찰했지만 바이트는 미보존. 25개 자치구는 별도 등록 전 DISABLED_PENDING_REVIEW"
"seoul.city-boundary-attachments","서울특별시 본청","https://www.seoul.go.kr/news/news_notice.do","본청 고시 붙임 지번·도면","BOUNDARY","REVIEW","NO","NO","YES","REVIEW_REQUIRED","첨부별 공공누리·제3자 권리를 별도로 확인해야 함","OBSERVED_DEFAULT_DISALLOW_ALLOWLIST","https://www.seoul.go.kr/robots.txt","2026-07-17","","https://www.seoul.go.kr/helper/copyright.do","2026-07-17","","","","NOT_CAPTURED","PENDING_REVIEW","기본 차단과 /news·/helper 허용 목록을 임시 관찰했지만 바이트는 미보존. 공고와 붙임의 버전·필지·도면·해시를 별도 등록"
"gyeonggi.province-notices","경기도 본청","https://www.gg.go.kr/gg-dobo","경기도보·본청 고시공고","LEGAL_EFFECT","REVIEW","NO","NO","YES","REVIEW_REQUIRED","문서별 공공누리 유형을 확인해야 함","OBSERVED_SOFT_BLOCK","https://www.gg.go.kr/robots.txt","2026-07-17","","https://www.gg.go.kr/contents/contents.do?ciIdx=1066&menuId=2772","2026-07-17","","","","NOT_CAPTURED","PENDING_REVIEW","robots와 저작권정책 요청에서 HTTP 200 보안 차단 HTML을 관찰했고 정책 해시로 저장하지 않았다. 31개 시군은 별도 등록 전 DISABLED_PENDING_REVIEW"
"gyeonggi.province-boundary-attachments","경기도 본청","https://www.gg.go.kr/gg-dobo","본청 고시 붙임 필지·단지 조서·도면","BOUNDARY","REVIEW","NO","NO","YES","REVIEW_REQUIRED","첨부별 공공누리·제3자 권리를 별도로 확인해야 함","OBSERVED_SOFT_BLOCK","https://www.gg.go.kr/robots.txt","2026-07-17","","https://www.gg.go.kr/contents/contents.do?ciIdx=1066&menuId=2772","2026-07-17","","","","NOT_CAPTURED","PENDING_REVIEW","robots와 저작권정책 요청에서 HTTP 200 보안 차단 HTML을 관찰했고 정책 해시로 저장하지 않았다. 공고와 붙임의 버전·필지·도면·해시를 별도 등록"
"juso.search-api","행정안전부 주소기반산업지원서비스","https://business.juso.go.kr/jst/jstAddressApiList","주소 검색 API 응답","STATUS_INDEX","REVIEW","NO","NO","NO","REVIEW_REQUIRED","별도 이용 신청이 필요하고 PNU 직접 반환·결과 저장·재배포 조건이 확정되지 않음","OBSERVED_PATH_RULES","https://business.juso.go.kr/robots.txt","2026-07-17","","","","","","","NOT_CAPTURED","PENDING_REVIEW","/jsi·/jsm 제한을 임시 관찰했지만 바이트는 미보존. API 목록은 약관 URL이 아니며 저장·재배포 조건 원문은 아직 찾지 못했다. 운영 승인 전 비활성"
"juso.coordinate-api","행정안전부 주소기반산업지원서비스","https://business.juso.go.kr/api/jsi/qna-board/126550/126550","좌표 API 공식 Q&A 응답","STATUS_INDEX","REVIEW","NO","NO","NO","REVIEW_REQUIRED","검색 API와 별도 신청이 필요하고 공식 Q&A에 5초당 10건 제한이 안내되지만 저장·재배포 권리는 미확정","OBSERVED_PATH_RULES","https://business.juso.go.kr/robots.txt","2026-07-17","","","","","","","NOT_CAPTURED","PENDING_REVIEW","/jsi·/jsm 제한을 임시 관찰했지만 바이트는 미보존. UTM-K(GRS80), 비공개 시설 누락, 좌표→PNU·보존 범위를 확인하고 백오프 적용"
"vworld.geocoder","국토교통부 브이월드","https://www.vworld.kr/dev/v4dv_geocoderguide2_s001.do","Geocoder API 응답","STATUS_INDEX","NO","NO","NO","YES","BLOCKED","공공데이터 이용허락과 별개로 공식 API 레퍼런스가 결과의 별도 저장장치·DB 저장을 금지함","OBSERVED_CRAWL_DELAY_30","https://www.vworld.kr/robots.txt","2026-07-17","","https://www.vworld.kr/dev/v4dv_geocoderguide2_s001.do","2026-07-17","","","","NOT_CAPTURED","VERIFIED","일반 허용과 crawl-delay 30을 임시 관찰했지만 바이트는 미보존. 영구 snapshot·RAG·공개를 금지하며 메모리 내 일회성 사용도 T101 승인 전 비활성"
